dia,pvs_totales,pvs_totales_usa,pvs_totales_mexico,pvs_ole_usa,pvs_ole_no_usa,notas_unicas,notas_unicas_usa,porc_notas_unicas_usa,browsers_unicos,browsers_unicos_arg,browsers_unicos_mex,browsers_unicos_usa,browsers_unicos_otros
2024-02-27 00:00:00,74771,59367,15404,28,74743,2059,2,0,21987,1024,4493,16050,420
2024-02-28 00:00:00,68204,54955,13249,10,68194,1956,2,0,19918,953,3616,14964,385
2024-02-29 00:00:00,78400,63960,14440,6,78394,2032,2,0,25121,1044,4490,19114,473
2024-03-01 00:00:00,73118,58944,14174,4,73114,1894,2,0,25153,1012,5259,18434,448
2024-03-02 00:00:00,82066,67559,14507,0,82066,2067,0,0,26151,1020,4924,19702,505
2024-03-03 00:00:00,101135,81104,20031,24,101111,2164,2,0,33647,1161,7977,23886,623
2024-03-04 00:00:00,76703,61633,15070,64,76639,1968,1,0,24073,1067,5281,17274,451
2024-03-05 00:00:00,77990,62832,15158,18,77972,1873,2,0,23517,986,4577,17527,427
2024-03-06 00:00:00,95650,79333,16317,2,95648,1961,1,0,27394,1260,4733,20873,528
2024-03-07 00:00:00,95532,77224,18308,2,95530,1972,2,0,33241,1133,6303,25278,527
2024-03-08 00:00:00,86205,69982,16223,1367,84838,1902,1,0,30311,1035,6232,22506,538
2024-03-09 00:00:00,98191,82118,16073,131,98060,1963,1,0,37507,1054,5700,30119,634
2024-03-10 00:00:00,123297,101411,21886,41,123256,2183,2,0,47881,1325,8238,37388,930
2024-03-11 00:00:00,98716,75330,23386,11,98705,1960,1,0,38313,1221,10918,25569,605
2024-03-12 00:00:00,79559,61615,17944,75,79484,1918,2,0,29736,979,7806,20487,464
2024-03-13 00:00:00,106485,86902,19583,135,106350,2015,2,0,33493,1366,6364,25094,669
2024-03-14 00:00:00,109294,88296,20998,13,109281,1982,1,0,40653,1427,7363,31126,737
2024-03-15 00:00:00,93556,76729,16827,6,93550,1954,1,0,35767,1191,5674,28330,572
2024-03-16 00:00:00,82471,66488,15983,128,82343,1996,4,0,29972,1046,6876,21550,500
2024-03-17 00:00:00,137880,110077,27803,237,137643,2128,3,0,57530,1777,13940,40788,1025
2024-03-18 00:00:00,123651,101744,21907,570,123081,2063,3,0,44514,1765,8023,33683,1043
2024-03-19 00:00:00,93964,73709,20255,118,93846,2075,4,0,32137,1463,7142,22868,664
2024-03-20 00:00:00,85279,66943,18336,40,85239,2043,3,0,29377,1283,6835,20677,582
2024-03-21 00:00:00,87968,70610,17358,22,87946,2003,3,0,29370,1350,5804,21637,579
2024-03-22 00:00:00,108300,87230,21070,10,108290,1994,4,0,40628,1710,8259,29884,775
2024-03-23 00:00:00,130171,107558,22613,2,130169,1988,1,0,62252,1596,10308,49420,928
2024-03-24 00:00:00,93324,78418,14906,4,93320,2008,2,0,43429,1236,5982,35510,701
2024-03-25 00:00:00,90149,73514,16635,0,90149,1921,0,0,31220,1350,5811,23414,645
2024-03-26 00:00:00,111614,88968,22646,1,111613,2073,0,0,42374,1514,7868,32221,771
2024-03-27 00:00:00,111082,89272,21810,2,111080,1981,0,0,40666,1547,8319,30030,770
2024-03-28 00:00:00,72400,58590,13810,1,72399,1892,1,0,23075,1106,4402,17070,497
2024-03-29 00:00:00,83472,69239,14233,2,83470,1988,1,0,32689,1321,5878,24984,506
2024-03-30 00:00:00,94708,78770,15938,1,94707,2155,1,0,32103,1795,5565,24068,675
2024-03-31 00:00:00,95231,81003,14228,5,95226,2267,3,0,37770,1551,4690,30841,688
2024-04-01 00:00:00,81328,66866,14462,8,81320,2063,1,0,32066,1292,5149,25005,620
2024-04-02 00:00:00,83344,67793,15551,1,83343,2077,1,0,27147,1297,4910,20400,540
2024-04-03 00:00:00,140214,95133,45081,1,140213,2219,1,0,61189,1901,27429,31000,859
2024-04-04 00:00:00,103301,78371,24930,2,103299,2124,0,0,36790,1541,11386,23182,681
2024-04-05 00:00:00,83345,65766,17579,0,83345,1956,0,0,28328,1325,6890,19544,569
2024-04-06 00:00:00,100366,79360,21006,0,100366,2148,0,0,36577,1407,10064,24456,650
2024-04-07 00:00:00,121133,96944,24189,0,121133,2151,0,0,51334,1541,12306,36666,821
2024-04-08 00:00:00,108768,86565,22203,3,108765,2052,1,0,45163,1515,10406,32472,770
2024-04-09 00:00:00,108858,84273,24585,0,108858,2218,0,0,37420,1624,9803,25267,726
2024-04-10 00:00:00,118739,87425,31314,18,118721,2290,3,0,46994,1690,16100,28491,713
2024-04-11 00:00:00,146252,102241,44011,31,146221,2307,0,0,61056,1565,22318,36316,857
2024-04-12 00:00:00,107550,87371,20179,3,107547,2080,0,0,36907,1805,6065,28167,870
2024-04-13 00:00:00,82282,66256,16026,5,82277,2092,1,0,30066,1220,6896,21357,593
2024-04-14 00:00:00,90477,72899,17578,5,90472,2213,0,0,32294,1269,7022,23398,605
2024-04-15 00:00:00,103919,83668,20251,1,103918,2105,0,0,28787,1715,5574,20818,680
2024-04-16 00:00:00,131259,104723,26536,3,131256,2268,0,0,35966,2249,7306,25536,875
2024-04-17 00:00:00,123726,90417,33309,2,123724,2245,0,0,46728,1913,16389,27599,827
2024-04-18 00:00:00,93068,74245,18823,0,93068,2043,0,0,32716,1573,7176,23298,669
2024-04-19 00:00:00,82480,63490,18990,0,82480,1968,0,0,31122,1310,8098,21131,583
2024-04-20 00:00:00,101541,74302,27239,4,101537,2015,0,0,45608,1522,17051,26360,675
2024-04-21 00:00:00,165456,126134,39322,6,165450,2409,0,0,73433,2191,21916,47996,1330
2024-04-22 00:00:00,112519,88690,23829,1,112518,2171,1,0,46610,1755,10847,33124,884
2024-04-23 00:00:00,83863,67798,16065,2,83861,2192,0,0,32824,1359,5740,25057,668
2024-04-24 00:00:00,91468,74238,17230,4,91464,2186,1,0,32096,1523,6465,23425,683
2024-04-25 00:00:00,104383,83631,20752,0,104383,2188,0,0,34787,1726,7730,24584,747
2024-04-26 00:00:00,90457,68385,22072,43,90414,2118,5,0,34702,1432,11653,20952,665
2024-04-27 00:00:00,77767,59978,17789,434,77333,2078,18,"0,01",30223,1075,8848,19755,545
2024-04-28 00:00:00,107065,84129,22936,1464,105601,2299,22,"0,01",45878,1361,12130,31585,802
2024-04-29 00:00:00,87648,72901,14747,727,86921,2038,26,"0,01",34318,1374,5534,26746,664
2024-04-30 00:00:00,115412,93182,22230,483,114929,2265,32,"0,01",40448,1769,8134,29692,853
2024-05-01 00:00:00,91434,71657,19777,1108,90326,2200,30,"0,01",36692,1301,9780,24869,742
2024-05-02 00:00:00,83006,63506,19500,848,82158,2036,41,"0,02",32767,1228,9805,21210,524
2024-05-03 00:00:00,83721,61854,21867,797,82924,2064,54,"0,03",33257,1284,12044,19379,550
2024-05-04 00:00:00,127094,99724,27370,54793,72301,2138,64,"0,03",77646,1216,17476,58208,746
2024-05-05 00:00:00,159844,124065,35779,32914,126930,2392,70,"0,03",80331,1728,19846,57537,1220
2024-05-06 00:00:00,89770,70517,19253,3326,86444,2189,65,"0,03",34050,1259,7901,24147,743
2024-05-07 00:00:00,94589,75000,19589,2016,92573,2219,63,"0,03",31096,1516,6982,21899,699
2024-05-08 00:00:00,122962,94769,28193,2193,120769,2163,66,"0,03",45238,1817,12391,30058,972
2024-05-09 00:00:00,90251,71852,18399,1195,89056,2107,74,"0,04",32294,1438,6500,23649,707
2024-05-10 00:00:00,72599,58015,14584,772,71827,2078,82,"0,04",24906,1228,4974,18113,591
2024-05-11 00:00:00,88571,71015,17556,1568,87003,2142,88,"0,04",32235,1485,7334,22729,687
2024-05-12 00:00:00,105239,83735,21504,2384,102855,2182,92,"0,04",40189,1592,9590,28187,820
2024-05-13 00:00:00,84985,68294,16691,968,84017,2090,75,"0,04",31363,1355,5720,23595,693
2024-05-14 00:00:00,89293,71712,17581,993,88300,2108,87,"0,04",28646,1312,5228,21558,548
2024-05-15 00:00:00,107215,86819,20396,3511,103704,2156,99,"0,05",33815,1575,7050,24483,707
2024-05-16 00:00:00,98277,78254,20023,2871,95406,2081,120,"0,06",34116,1504,7742,24202,668
2024-05-17 00:00:00,91180,71680,19500,3564,87616,1871,112,"0,06",34608,1285,8904,23815,604
2024-05-18 00:00:00,99039,78618,20421,7351,91688,1961,111,"0,06",38893,1238,9582,27383,690
2024-05-19 00:00:00,106024,83587,22437,2911,103113,2017,91,"0,05",37339,1390,10468,24796,685
2024-05-20 00:00:00,90126,73025,17101,710,89416,1984,92,"0,05",29307,1304,6014,21384,605
2024-05-21 00:00:00,96402,77098,19304,1054,95348,2059,116,"0,06",31158,1514,5788,23185,671
2024-05-22 00:00:00,100107,74371,25736,2013,98094,2092,113,"0,05",40773,1489,13032,25515,737
2024-05-23 00:00:00,84873,59751,25122,15917,68956,1864,113,"0,06",36652,1112,14464,20589,487
2024-05-24 00:00:00,86922,60959,25963,13262,73660,1879,108,"0,06",37193,1178,14795,20682,538
2024-05-25 00:00:00,98885,77707,21178,7910,90975,2043,118,"0,06",38751,1414,8813,27847,677
2024-05-26 00:00:00,95134,74173,20961,4779,90355,2081,133,"0,06",42565,1436,10350,29998,781
2024-05-27 00:00:00,90976,73598,17378,7258,83718,1989,120,"0,06",38424,1303,6643,29838,640
2024-05-28 00:00:00,90640,73033,17607,2251,88389,2181,127,"0,06",35266,1322,6758,26460,726
2024-05-29 00:00:00,106585,85972,20613,4424,102161,2151,126,"0,06",39129,1517,7307,29498,807
2024-05-30 00:00:00,109147,87415,21732,5278,103869,2046,127,"0,06",39055,1516,7316,29379,844
2024-05-31 00:00:00,98555,74174,24381,13466,85089,2100,138,"0,07",40036,1337,11309,26721,669
2024-06-01 00:00:00,121108,88432,32676,14842,106266,2412,173,"0,07",61395,1318,20203,39000,874
2024-06-02 00:00:00,136670,104399,32271,17129,119541,2452,166,"0,07",63423,1579,17951,42843,1050
2024-06-03 00:00:00,122453,99620,22833,23219,99234,2442,200,"0,08",49512,1609,9329,37621,953
2024-06-04 00:00:00,94378,75211,19167,32086,62292,2189,239,"0,11",32202,1220,6895,23422,665
2024-06-05 00:00:00,91436,74082,17354,28423,63013,2181,219,"0,1",30222,1154,5602,22879,587
2024-06-06 00:00:00,92722,74770,17952,28464,64258,2212,219,"0,1",31301,1148,6251,23276,626
2024-06-07 00:00:00,92167,75965,16202,23935,68232,2193,211,"0,1",31818,1141,5639,24453,585
2024-06-08 00:00:00,103430,83911,19519,27197,76233,2252,226,"0,1",40713,1087,8490,30367,769
2024-06-09 00:00:00,146206,117286,28920,37235,108971,2371,242,"0,1",65900,1523,13054,50069,1254
2024-06-10 00:00:00,106472,85186,21286,27270,79202,2238,248,"0,11",40868,1236,8472,30374,786
2024-06-11 00:00:00,93368,74134,19234,23412,69956,2191,254,"0,12",31817,1134,6628,23443,612
2024-06-12 00:00:00,104078,83397,20681,25460,78618,2259,245,"0,11",36963,1203,7404,27700,656
2024-06-13 00:00:00,115253,90497,24756,27235,88018,2268,252,"0,11",39246,1399,10332,26815,700
2024-06-14 00:00:00,162458,132217,30241,37492,124966,2266,246,"0,11",73184,1456,13129,57691,908
2024-06-15 00:00:00,129081,98943,30138,41968,87113,2278,270,"0,12",58268,1315,16394,39714,845
2024-06-16 00:00:00,107854,84935,22919,36042,71812,2317,258,"0,11",48383,1089,10878,35657,759
2024-06-17 00:00:00,102042,79258,22784,29146,72896,2360,272,"0,12",37179,1173,8324,26997,685
2024-06-18 00:00:00,95272,75701,19571,24222,71050,2142,270,"0,13",33744,1356,7338,24356,694
2024-06-19 00:00:00,98150,76470,21680,28191,69959,2261,271,"0,12",36043,1409,9843,24078,713
2024-06-20 00:00:00,137541,109932,27609,39266,98275,2656,304,"0,11",56288,1604,11815,41791,1078
2024-06-21 00:00:00,129764,103769,25995,41391,88373,2529,308,"0,12",48511,1703,11167,34609,1032
2024-06-22 00:00:00,111120,91439,19681,29109,82011,2497,310,"0,12",42911,1510,8831,31732,838
2024-06-23 00:00:00,113780,89393,24387,32047,81733,2673,339,"0,13",49250,1706,11908,34595,1041
2024-06-24 00:00:00,131630,105258,26372,35317,96313,2527,312,"0,12",55478,1770,12528,40176,1004
